"date","CumDeaths","Pred_q25","Pred_med","Pred_q975"
2020-02-25,0,NA,NA,NA
2020-02-26,0,NA,NA,NA
2020-02-27,0,NA,NA,NA
2020-02-28,0,NA,NA,NA
2020-02-29,0,NA,NA,NA
2020-03-01,0,NA,NA,NA
2020-03-02,0,NA,NA,NA
2020-03-03,0,NA,NA,NA
2020-03-04,0,NA,NA,NA
2020-03-05,0,NA,NA,NA
2020-03-06,0,NA,NA,NA
2020-03-07,0,NA,NA,NA
2020-03-08,0,NA,NA,NA
2020-03-09,0,NA,NA,NA
2020-03-10,0,NA,NA,NA
2020-03-11,0,NA,NA,NA
2020-03-12,0,NA,NA,NA
2020-03-13,0,NA,NA,NA
2020-03-14,0,NA,NA,NA
2020-03-15,0,NA,NA,NA
2020-03-16,0,NA,NA,NA
2020-03-17,0,NA,NA,NA
2020-03-18,0,NA,NA,NA
2020-03-19,0,NA,NA,NA
2020-03-20,0,NA,NA,NA
2020-03-21,0,NA,NA,NA
2020-03-22,0,NA,NA,NA
2020-03-23,0,NA,NA,NA
2020-03-24,0,NA,NA,NA
2020-03-25,0,NA,NA,NA
2020-03-26,0,NA,NA,NA
2020-03-27,0,NA,NA,NA
2020-03-28,0,NA,NA,NA
2020-03-29,1,NA,NA,NA
2020-03-30,1,NA,NA,NA
2020-03-31,2,NA,NA,NA
2020-04-01,2,NA,NA,NA
2020-04-02,3,NA,NA,NA
2020-04-03,5,NA,NA,NA
2020-04-04,7,NA,NA,NA
2020-04-05,9,NA,NA,NA
2020-04-06,10,NA,NA,NA
2020-04-07,12,NA,NA,NA
2020-04-08,15,NA,NA,NA
2020-04-09,19,NA,NA,NA
2020-04-10,19,NA,NA,NA
2020-04-11,21,NA,NA,NA
2020-04-12,21,NA,NA,NA
2020-04-13,22,NA,NA,NA
2020-04-14,22,NA,NA,NA
2020-04-15,27,NA,NA,NA
2020-04-16,30,NA,NA,NA
2020-04-17,36,NA,NA,NA
2020-04-18,37,NA,NA,NA
2020-04-19,45,NA,NA,NA
2020-04-20,46,NA,NA,NA
2020-04-21,47,NA,NA,NA
2020-04-22,50,NA,NA,NA
2020-04-23,59,NA,NA,NA
2020-04-24,64,NA,NA,NA
2020-04-25,70,NA,NA,NA
2020-04-26,73,NA,NA,NA
2020-04-27,76,NA,NA,NA
2020-04-28,86,NA,NA,NA
2020-04-29,96,NA,NA,NA
2020-04-30,104,NA,NA,NA
2020-05-01,117,NA,NA,NA
2020-05-02,123,NA,NA,NA
2020-05-03,123,NA,NA,NA
2020-05-04,141,NA,NA,NA
2020-05-05,146,NA,NA,NA
2020-05-06,160,NA,NA,NA
2020-05-07,165,NA,NA,NA
2020-05-08,183,NA,NA,NA
2020-05-09,196,NA,NA,NA
2020-05-10,202,NA,NA,NA
2020-05-11,211,NA,NA,NA
2020-05-12,225,NA,NA,NA
2020-05-13,236,NA,NA,NA
2020-05-14,262,NA,NA,NA
2020-05-15,281,NA,NA,NA
2020-05-16,286,NA,NA,NA
2020-05-17,295,NA,NA,NA
2020-05-18,312,NA,NA,NA
2020-05-19,326,NA,NA,NA
2020-05-20,362,NA,NA,NA
2020-05-21,376,NA,NA,NA
2020-05-22,399,NA,NA,NA
2020-05-23,413,NA,NA,NA
2020-05-24,460,NA,NA,NA
2020-05-25,477,NA,NA,NA
2020-05-26,495,NA,NA,NA
2020-05-27,531,NA,NA,NA
2020-05-28,570,NA,NA,NA
2020-05-29,609,NA,NA,NA
2020-05-30,638,NA,NA,NA
2020-05-31,667,NA,NA,NA
2020-06-01,701,NA,NA,NA
2020-06-02,736,NA,NA,NA
2020-06-03,762,NA,NA,NA
2020-06-04,790,NA,NA,NA
2020-06-05,819,NA,NA,NA
2020-06-06,846,NA,NA,NA
2020-06-07,879,NA,NA,NA
2020-06-08,910,NA,NA,NA
2020-06-09,937,NA,NA,NA
2020-06-10,975,NA,NA,NA
2020-06-11,1013,NA,NA,NA
2020-06-12,1039,NA,NA,NA
