"date","CumDeaths","Pred_q25","Pred_med","Pred_q975"
2020-02-25,0,NA,NA,NA
2020-02-26,0,NA,NA,NA
2020-02-27,0,NA,NA,NA
2020-02-28,0,NA,NA,NA
2020-02-29,0,NA,NA,NA
2020-03-01,0,NA,NA,NA
2020-03-02,0,NA,NA,NA
2020-03-03,0,NA,NA,NA
2020-03-04,0,NA,NA,NA
2020-03-05,0,NA,NA,NA
2020-03-06,0,NA,NA,NA
2020-03-07,0,NA,NA,NA
2020-03-08,0,NA,NA,NA
2020-03-09,0,NA,NA,NA
2020-03-10,0,NA,NA,NA
2020-03-11,0,NA,NA,NA
2020-03-12,0,NA,NA,NA
2020-03-13,0,NA,NA,NA
2020-03-14,0,NA,NA,NA
2020-03-15,0,NA,NA,NA
2020-03-16,0,NA,NA,NA
2020-03-17,0,NA,NA,NA
2020-03-18,0,NA,NA,NA
2020-03-19,0,NA,NA,NA
2020-03-20,0,NA,NA,NA
2020-03-21,0,NA,NA,NA
2020-03-22,0,NA,NA,NA
2020-03-23,0,NA,NA,NA
2020-03-24,0,NA,NA,NA
2020-03-25,0,NA,NA,NA
2020-03-26,0,NA,NA,NA
2020-03-27,0,NA,NA,NA
2020-03-28,0,NA,NA,NA
2020-03-29,0,NA,NA,NA
2020-03-30,1,NA,NA,NA
2020-03-31,1,NA,NA,NA
2020-04-01,1,NA,NA,NA
2020-04-02,1,NA,NA,NA
2020-04-03,1,NA,NA,NA
2020-04-04,1,NA,NA,NA
2020-04-05,2,NA,NA,NA
2020-04-06,2,NA,NA,NA
2020-04-07,4,NA,NA,NA
2020-04-08,11,NA,NA,NA
2020-04-09,12,NA,NA,NA
2020-04-10,16,NA,NA,NA
2020-04-11,21,NA,NA,NA
2020-04-12,24,NA,NA,NA
2020-04-13,27,NA,NA,NA
2020-04-14,32,NA,NA,NA
2020-04-15,34,NA,NA,NA
2020-04-16,37,NA,NA,NA
2020-04-17,40,NA,NA,NA
2020-04-18,44,NA,NA,NA
2020-04-19,48,NA,NA,NA
2020-04-20,54,NA,NA,NA
2020-04-21,60,NA,NA,NA
2020-04-22,66,NA,NA,NA
2020-04-23,76,NA,NA,NA
2020-04-24,88,NA,NA,NA
2020-04-25,100,NA,NA,NA
2020-04-26,112,NA,NA,NA
2020-04-27,125,NA,NA,NA
2020-04-28,145,NA,NA,NA
2020-04-29,166,NA,NA,NA
2020-04-30,184,NA,NA,NA
2020-05-01,204,NA,NA,NA
2020-05-02,224,NA,NA,NA
2020-05-03,237,NA,NA,NA
2020-05-04,249,NA,NA,NA
2020-05-05,271,NA,NA,NA
2020-05-06,291,NA,NA,NA
2020-05-07,305,NA,NA,NA
2020-05-08,330,NA,NA,NA
2020-05-09,355,NA,NA,NA
2020-05-10,379,NA,NA,NA
2020-05-11,399,NA,NA,NA
2020-05-12,423,NA,NA,NA
2020-05-13,444,NA,NA,NA
2020-05-14,470,NA,NA,NA
2020-05-15,496,NA,NA,NA
2020-05-16,524,NA,NA,NA
2020-05-17,549,NA,NA,NA
2020-05-18,576,NA,NA,NA
2020-05-19,604,NA,NA,NA
2020-05-20,634,NA,NA,NA
2020-05-21,663,NA,NA,NA
2020-05-22,693,NA,NA,NA
2020-05-23,722,NA,NA,NA
2020-05-24,754,NA,NA,NA
2020-05-25,784,NA,NA,NA
2020-05-26,817,NA,NA,NA
2020-05-27,853,NA,NA,NA
2020-05-28,887,NA,NA,NA
2020-05-29,911,NA,NA,NA
2020-05-30,932,NA,NA,NA
2020-05-31,955,NA,NA,NA
2020-06-01,976,NA,NA,NA
2020-06-02,997,NA,NA,NA
2020-06-03,1028,NA,NA,NA
2020-06-04,1062,NA,NA,NA
2020-06-05,1095,NA,NA,NA
2020-06-06,1132,NA,NA,NA
2020-06-07,1170,NA,NA,NA
2020-06-08,1247,NA,NA,NA
2020-06-09,1285,NA,NA,NA
2020-06-10,1322,NA,NA,NA
2020-06-11,1360,NA,NA,NA
2020-06-12,1399,NA,NA,NA
