"date","CumDeaths","Pred_q25","Pred_med","Pred_q975"
2020-02-25,0,NA,NA,NA
2020-02-26,0,NA,NA,NA
2020-02-27,0,NA,NA,NA
2020-02-28,0,NA,NA,NA
2020-02-29,0,NA,NA,NA
2020-03-01,0,NA,NA,NA
2020-03-02,0,NA,NA,NA
2020-03-03,0,NA,NA,NA
2020-03-04,0,NA,NA,NA
2020-03-05,0,NA,NA,NA
2020-03-06,0,NA,NA,NA
2020-03-07,0,NA,NA,NA
2020-03-08,0,NA,NA,NA
2020-03-09,0,NA,NA,NA
2020-03-10,0,NA,NA,NA
2020-03-11,0,NA,NA,NA
2020-03-12,0,NA,NA,NA
2020-03-13,0,NA,NA,NA
2020-03-14,0,NA,NA,NA
2020-03-15,0,NA,NA,NA
2020-03-16,0,NA,NA,NA
2020-03-17,0,NA,NA,NA
2020-03-18,0,NA,NA,NA
2020-03-19,0,NA,NA,NA
2020-03-20,0,NA,NA,NA
2020-03-21,0,NA,NA,NA
2020-03-22,0,NA,NA,NA
2020-03-23,0,NA,NA,NA
2020-03-24,0,NA,NA,NA
2020-03-25,0,NA,NA,NA
2020-03-26,0,NA,NA,NA
2020-03-27,0,NA,NA,NA
2020-03-28,0,NA,NA,NA
2020-03-29,0,NA,NA,NA
2020-03-30,1,NA,NA,NA
2020-03-31,2,NA,NA,NA
2020-04-01,3,NA,NA,NA
2020-04-02,4,NA,NA,NA
2020-04-03,6,NA,NA,NA
2020-04-04,6,NA,NA,NA
2020-04-05,6,NA,NA,NA
2020-04-06,9,NA,NA,NA
2020-04-07,11,NA,NA,NA
2020-04-08,14,NA,NA,NA
2020-04-09,15,NA,NA,NA
2020-04-10,17,NA,NA,NA
2020-04-11,17,NA,NA,NA
2020-04-12,20,NA,NA,NA
2020-04-13,23,NA,NA,NA
2020-04-14,27,NA,NA,NA
2020-04-15,30,NA,NA,NA
2020-04-16,33,NA,NA,NA
2020-04-17,35,NA,NA,NA
2020-04-18,39,NA,NA,NA
2020-04-19,39,NA,NA,NA
2020-04-20,41,NA,NA,NA
2020-04-21,44,NA,NA,NA
2020-04-22,47,NA,NA,NA
2020-04-23,51,NA,NA,NA
2020-04-24,54,NA,NA,NA
2020-04-25,58,NA,NA,NA
2020-04-26,61,NA,NA,NA
2020-04-27,62,NA,NA,NA
2020-04-28,71,NA,NA,NA
2020-04-29,80,NA,NA,NA
2020-04-30,82,NA,NA,NA
2020-05-01,88,NA,NA,NA
2020-05-02,88,NA,NA,NA
2020-05-03,89,NA,NA,NA
2020-05-04,90,NA,NA,NA
2020-05-05,94,NA,NA,NA
2020-05-06,97,NA,NA,NA
2020-05-07,106,NA,NA,NA
2020-05-08,111,NA,NA,NA
2020-05-09,118,NA,NA,NA
2020-05-10,119,NA,NA,NA
2020-05-11,121,NA,NA,NA
2020-05-12,127,NA,NA,NA
2020-05-13,135,NA,NA,NA
2020-05-14,139,NA,NA,NA
2020-05-15,146,NA,NA,NA
2020-05-16,150,NA,NA,NA
2020-05-17,156,NA,NA,NA
2020-05-18,161,NA,NA,NA
2020-05-19,167,NA,NA,NA
2020-05-20,177,NA,NA,NA
2020-05-21,191,NA,NA,NA
2020-05-22,201,NA,NA,NA
2020-05-23,217,NA,NA,NA
2020-05-24,226,NA,NA,NA
2020-05-25,230,NA,NA,NA
2020-05-26,234,NA,NA,NA
2020-05-27,240,NA,NA,NA
2020-05-28,255,NA,NA,NA
2020-05-29,257,NA,NA,NA
2020-05-30,263,NA,NA,NA
2020-05-31,271,NA,NA,NA
2020-06-01,278,NA,NA,NA
2020-06-02,289,NA,NA,NA
2020-06-03,306,NA,NA,NA
2020-06-04,323,NA,NA,NA
2020-06-05,344,NA,NA,NA
2020-06-06,368,NA,NA,NA
2020-06-07,376,NA,NA,NA
2020-06-08,380,NA,NA,NA
2020-06-09,399,NA,NA,NA
2020-06-10,409,NA,NA,NA
2020-06-11,431,NA,NA,NA
2020-06-12,446,NA,NA,NA
