"date","CumDeaths","Pred_q25","Pred_med","Pred_q975"
2020-02-25,0,NA,NA,NA
2020-02-26,0,NA,NA,NA
2020-02-27,0,NA,NA,NA
2020-02-28,0,NA,NA,NA
2020-02-29,0,NA,NA,NA
2020-03-01,0,NA,NA,NA
2020-03-02,0,NA,NA,NA
2020-03-03,0,NA,NA,NA
2020-03-04,0,NA,NA,NA
2020-03-05,0,NA,NA,NA
2020-03-06,0,NA,NA,NA
2020-03-07,0,NA,NA,NA
2020-03-08,0,NA,NA,NA
2020-03-09,0,NA,NA,NA
2020-03-10,0,NA,NA,NA
2020-03-11,0,NA,NA,NA
2020-03-12,0,NA,NA,NA
2020-03-13,0,NA,NA,NA
2020-03-14,0,NA,NA,NA
2020-03-15,0,NA,NA,NA
2020-03-16,0,NA,NA,NA
2020-03-17,0,NA,NA,NA
2020-03-18,0,NA,NA,NA
2020-03-19,2,NA,NA,NA
2020-03-20,2,NA,NA,NA
2020-03-21,3,NA,NA,NA
2020-03-22,3,NA,NA,NA
2020-03-23,4,NA,NA,NA
2020-03-24,6,NA,NA,NA
2020-03-25,6,NA,NA,NA
2020-03-26,9,NA,NA,NA
2020-03-27,10,NA,NA,NA
2020-03-28,13,NA,NA,NA
2020-03-29,17,NA,NA,NA
2020-03-30,18,NA,NA,NA
2020-03-31,23,NA,NA,NA
2020-04-01,28,NA,NA,NA
2020-04-02,41,NA,NA,NA
2020-04-03,47,NA,NA,NA
2020-04-04,58,NA,NA,NA
2020-04-05,64,NA,NA,NA
2020-04-06,71,NA,NA,NA
2020-04-07,89,NA,NA,NA
2020-04-08,106,NA,NA,NA
2020-04-09,122,NA,NA,NA
2020-04-10,147,NA,NA,NA
2020-04-11,155,NA,NA,NA
2020-04-12,170,NA,NA,NA
2020-04-13,188,NA,NA,NA
2020-04-14,224,NA,NA,NA
2020-04-15,265,NA,NA,NA
2020-04-16,300,NA,NA,NA
2020-04-17,341,NA,NA,NA
2020-04-18,387,NA,NA,NA
2020-04-19,402,NA,NA,NA
2020-04-20,422,NA,NA,NA
2020-04-21,461,NA,NA,NA
2020-04-22,490,NA,NA,NA
2020-04-23,530,NA,NA,NA
2020-04-24,570,NA,NA,NA
2020-04-25,615,NA,NA,NA
2020-04-26,645,NA,NA,NA
2020-04-27,677,NA,NA,NA
2020-04-28,738,NA,NA,NA
2020-04-29,794,NA,NA,NA
2020-04-30,854,NA,NA,NA
2020-05-01,921,NA,NA,NA
2020-05-02,971,NA,NA,NA
2020-05-03,1019,NA,NA,NA
2020-05-04,1065,NA,NA,NA
2020-05-05,1123,NA,NA,NA
2020-05-06,1205,NA,NA,NA
2020-05-07,1394,NA,NA,NA
2020-05-08,1503,NA,NA,NA
2020-05-09,1653,NA,NA,NA
2020-05-10,1714,NA,NA,NA
2020-05-11,1770,NA,NA,NA
2020-05-12,1928,NA,NA,NA
2020-05-13,2050,NA,NA,NA
2020-05-14,2247,NA,NA,NA
2020-05-15,2438,NA,NA,NA
2020-05-16,2614,NA,NA,NA
2020-05-17,2715,NA,NA,NA
2020-05-18,2852,NA,NA,NA
2020-05-19,3079,NA,NA,NA
2020-05-20,3237,NA,NA,NA
2020-05-21,3412,NA,NA,NA
2020-05-22,3657,NA,NA,NA
2020-05-23,3905,NA,NA,NA
2020-05-24,3993,NA,NA,NA
2020-05-25,4105,NA,NA,NA
2020-05-26,4361,NA,NA,NA
2020-05-27,4605,NA,NA,NA
2020-05-28,4856,NA,NA,NA
2020-05-29,5079,NA,NA,NA
2020-05-30,5277,NA,NA,NA
2020-05-31,5344,NA,NA,NA
2020-06-01,5462,NA,NA,NA
2020-06-02,5686,NA,NA,NA
2020-06-03,6010,NA,NA,NA
2020-06-04,6327,NA,NA,NA
2020-06-05,6473,NA,NA,NA
2020-06-06,6639,NA,NA,NA
2020-06-07,6707,NA,NA,NA
2020-06-08,6781,NA,NA,NA
2020-06-09,6928,NA,NA,NA
2020-06-10,7138,NA,NA,NA
