"date","CumDeaths","Pred_q25","Pred_med","Pred_q975"
2020-02-25,0,NA,NA,NA
2020-02-26,0,NA,NA,NA
2020-02-27,0,NA,NA,NA
2020-02-28,0,NA,NA,NA
2020-02-29,0,NA,NA,NA
2020-03-01,0,NA,NA,NA
2020-03-02,0,NA,NA,NA
2020-03-03,0,NA,NA,NA
2020-03-04,0,NA,NA,NA
2020-03-05,0,NA,NA,NA
2020-03-06,0,NA,NA,NA
2020-03-07,0,NA,NA,NA
2020-03-08,0,NA,NA,NA
2020-03-09,0,NA,NA,NA
2020-03-10,0,NA,NA,NA
2020-03-11,0,NA,NA,NA
2020-03-12,0,NA,NA,NA
2020-03-13,0,NA,NA,NA
2020-03-14,0,NA,NA,NA
2020-03-15,0,NA,NA,NA
2020-03-16,0,NA,NA,NA
2020-03-17,0,NA,NA,NA
2020-03-18,0,NA,NA,NA
2020-03-19,0,NA,NA,NA
2020-03-20,0,NA,NA,NA
2020-03-21,0,NA,NA,NA
2020-03-22,0,NA,NA,NA
2020-03-23,0,NA,NA,NA
2020-03-24,0,NA,NA,NA
2020-03-25,1,NA,NA,NA
2020-03-26,1,NA,NA,NA
2020-03-27,2,NA,NA,NA
2020-03-28,2,NA,NA,NA
2020-03-29,2,NA,NA,NA
2020-03-30,3,NA,NA,NA
2020-03-31,4,NA,NA,NA
2020-04-01,4,NA,NA,NA
2020-04-02,5,NA,NA,NA
2020-04-03,5,NA,NA,NA
2020-04-04,6,NA,NA,NA
2020-04-05,7,NA,NA,NA
2020-04-06,7,NA,NA,NA
2020-04-07,8,NA,NA,NA
2020-04-08,9,NA,NA,NA
2020-04-09,12,NA,NA,NA
2020-04-10,14,NA,NA,NA
2020-04-11,15,NA,NA,NA
2020-04-12,16,NA,NA,NA
2020-04-13,16,NA,NA,NA
2020-04-14,18,NA,NA,NA
2020-04-15,19,NA,NA,NA
2020-04-16,19,NA,NA,NA
2020-04-17,22,NA,NA,NA
2020-04-18,24,NA,NA,NA
2020-04-19,24,NA,NA,NA
2020-04-20,27,NA,NA,NA
2020-04-21,27,NA,NA,NA
2020-04-22,27,NA,NA,NA
2020-04-23,29,NA,NA,NA
2020-04-24,31,NA,NA,NA
2020-04-25,34,NA,NA,NA
2020-04-26,35,NA,NA,NA
2020-04-27,42,NA,NA,NA
2020-04-28,45,NA,NA,NA
2020-04-29,50,NA,NA,NA
2020-04-30,51,NA,NA,NA
2020-05-01,58,NA,NA,NA
2020-05-02,62,NA,NA,NA
2020-05-03,65,NA,NA,NA
2020-05-04,74,NA,NA,NA
2020-05-05,79,NA,NA,NA
2020-05-06,87,NA,NA,NA
2020-05-07,90,NA,NA,NA
2020-05-08,91,NA,NA,NA
2020-05-09,95,NA,NA,NA
2020-05-10,97,NA,NA,NA
2020-05-11,105,NA,NA,NA
2020-05-12,111,NA,NA,NA
2020-05-13,111,NA,NA,NA
2020-05-14,120,NA,NA,NA
2020-05-15,126,NA,NA,NA
2020-05-16,132,NA,NA,NA
2020-05-17,142,NA,NA,NA
2020-05-18,144,NA,NA,NA
2020-05-19,151,NA,NA,NA
2020-05-20,161,NA,NA,NA
2020-05-21,166,NA,NA,NA
2020-05-22,172,NA,NA,NA
2020-05-23,176,NA,NA,NA
2020-05-24,180,NA,NA,NA
2020-05-25,197,NA,NA,NA
2020-05-26,203,NA,NA,NA
2020-05-27,209,NA,NA,NA
2020-05-28,213,NA,NA,NA
2020-05-29,213,NA,NA,NA
2020-05-30,218,NA,NA,NA
2020-05-31,224,NA,NA,NA
2020-06-01,232,NA,NA,NA
2020-06-02,245,NA,NA,NA
2020-06-03,258,NA,NA,NA
2020-06-04,265,NA,NA,NA
2020-06-05,276,NA,NA,NA
2020-06-06,283,NA,NA,NA
2020-06-07,286,NA,NA,NA
2020-06-08,291,NA,NA,NA
2020-06-09,301,NA,NA,NA
2020-06-10,316,NA,NA,NA
2020-06-11,323,NA,NA,NA
2020-06-12,337,NA,NA,NA
