"date","CumDeaths","Pred_q25","Pred_med","Pred_q975"
2020-02-25,0,NA,NA,NA
2020-02-26,0,NA,NA,NA
2020-02-27,0,NA,NA,NA
2020-02-28,0,NA,NA,NA
2020-02-29,0,NA,NA,NA
2020-03-01,0,NA,NA,NA
2020-03-02,0,NA,NA,NA
2020-03-03,0,NA,NA,NA
2020-03-04,0,NA,NA,NA
2020-03-05,0,NA,NA,NA
2020-03-06,0,NA,NA,NA
2020-03-07,0,NA,NA,NA
2020-03-08,0,NA,NA,NA
2020-03-09,0,NA,NA,NA
2020-03-10,0,NA,NA,NA
2020-03-11,0,NA,NA,NA
2020-03-12,0,NA,NA,NA
2020-03-13,0,NA,NA,NA
2020-03-14,0,NA,NA,NA
2020-03-15,0,NA,NA,NA
2020-03-16,0,NA,NA,NA
2020-03-17,1,NA,NA,NA
2020-03-18,4,NA,NA,NA
2020-03-19,4,NA,NA,NA
2020-03-20,9,NA,NA,NA
2020-03-21,15,NA,NA,NA
2020-03-22,22,NA,NA,NA
2020-03-23,30,NA,NA,NA
2020-03-24,40,NA,NA,NA
2020-03-25,48,NA,NA,NA
2020-03-26,58,NA,NA,NA
2020-03-27,68,NA,NA,NA
2020-03-28,84,NA,NA,NA
2020-03-29,98,NA,NA,NA
2020-03-30,113,NA,NA,NA
2020-03-31,136,NA,NA,NA
2020-04-01,164,NA,NA,NA
2020-04-02,188,NA,NA,NA
2020-04-03,219,NA,NA,NA
2020-04-04,260,NA,NA,NA
2020-04-05,275,NA,NA,NA
2020-04-06,304,NA,NA,NA
2020-04-07,371,NA,NA,NA
2020-04-08,428,NA,NA,NA
2020-04-09,496,NA,NA,NA
2020-04-10,540,NA,NA,NA
2020-04-11,560,NA,NA,NA
2020-04-12,588,NA,NA,NA
2020-04-13,608,NA,NA,NA
2020-04-14,695,NA,NA,NA
2020-04-15,778,NA,NA,NA
2020-04-16,853,NA,NA,NA
2020-04-17,928,NA,NA,NA
2020-04-18,991,NA,NA,NA
2020-04-19,1015,NA,NA,NA
2020-04-20,1037,NA,NA,NA
2020-04-21,1093,NA,NA,NA
2020-04-22,1134,NA,NA,NA
2020-04-23,1345,NA,NA,NA
2020-04-24,1512,NA,NA,NA
2020-04-25,1667,NA,NA,NA
2020-04-26,1700,NA,NA,NA
2020-04-27,1825,NA,NA,NA
2020-04-28,2049,NA,NA,NA
2020-04-29,2247,NA,NA,NA
2020-04-30,2375,NA,NA,NA
2020-05-01,2511,NA,NA,NA
2020-05-02,2586,NA,NA,NA
2020-05-03,2627,NA,NA,NA
2020-05-04,2654,NA,NA,NA
2020-05-05,2851,NA,NA,NA
2020-05-06,3045,NA,NA,NA
2020-05-07,3206,NA,NA,NA
2020-05-08,3416,NA,NA,NA
2020-05-09,3608,NA,NA,NA
2020-05-10,3709,NA,NA,NA
2020-05-11,3743,NA,NA,NA
2020-05-12,3949,NA,NA,NA
2020-05-13,4118,NA,NA,NA
2020-05-14,4315,NA,NA,NA
2020-05-15,4501,NA,NA,NA
2020-05-16,4688,NA,NA,NA
2020-05-17,4782,NA,NA,NA
2020-05-18,4823,NA,NA,NA
2020-05-19,5147,NA,NA,NA
2020-05-20,5363,NA,NA,NA
2020-05-21,5558,NA,NA,NA
2020-05-22,5773,NA,NA,NA
2020-05-23,6045,NA,NA,NA
2020-05-24,6163,NA,NA,NA
2020-05-25,6220,NA,NA,NA
2020-05-26,6423,NA,NA,NA
2020-05-27,6712,NA,NA,NA
2020-05-28,6980,NA,NA,NA
2020-05-29,7275,NA,NA,NA
2020-05-30,7532,NA,NA,NA
2020-05-31,7615,NA,NA,NA
2020-06-01,7667,NA,NA,NA
2020-06-02,7994,NA,NA,NA
2020-06-03,8276,NA,NA,NA
2020-06-04,8560,NA,NA,NA
2020-06-05,8842,NA,NA,NA
2020-06-06,9058,NA,NA,NA
2020-06-07,9145,NA,NA,NA
2020-06-08,9188,NA,NA,NA
2020-06-09,9522,NA,NA,NA
