"date","CumConfirmed","Pred_q25","Pred_med","Pred_q975"
2020-01-22,0,NA,NA,NA
2020-01-23,0,NA,NA,NA
2020-01-24,0,NA,NA,NA
2020-01-25,0,NA,NA,NA
2020-01-26,0,NA,NA,NA
2020-01-27,0,NA,NA,NA
2020-01-28,0,NA,NA,NA
2020-01-29,0,NA,NA,NA
2020-01-30,0,NA,NA,NA
2020-01-31,0,NA,NA,NA
2020-02-01,1,NA,NA,NA
2020-02-02,1,NA,NA,NA
2020-02-03,1,NA,NA,NA
2020-02-04,1,NA,NA,NA
2020-02-05,1,NA,NA,NA
2020-02-06,1,NA,NA,NA
2020-02-07,1,NA,NA,NA
2020-02-08,1,NA,NA,NA
2020-02-09,2,NA,NA,NA
2020-02-10,2,NA,NA,NA
2020-02-11,2,NA,NA,NA
2020-02-12,2,NA,NA,NA
2020-02-13,2,NA,NA,NA
2020-02-14,2,NA,NA,NA
2020-02-15,2,NA,NA,NA
2020-02-16,2,NA,NA,NA
2020-02-17,2,NA,NA,NA
2020-02-18,2,NA,NA,NA
2020-02-19,2,NA,NA,NA
2020-02-20,2,NA,NA,NA
2020-02-21,2,NA,NA,NA
2020-02-22,2,NA,NA,NA
2020-02-23,2,NA,NA,NA
2020-02-24,2,NA,NA,NA
2020-02-25,6,NA,NA,NA
2020-02-26,13,NA,NA,NA
2020-02-27,15,NA,NA,NA
2020-02-28,32,NA,NA,NA
2020-02-29,45,NA,NA,NA
2020-03-01,84,NA,NA,NA
2020-03-02,120,NA,NA,NA
2020-03-03,165,NA,NA,NA
2020-03-04,222,NA,NA,NA
2020-03-05,259,NA,NA,NA
2020-03-06,400,NA,NA,NA
2020-03-07,500,NA,NA,NA
2020-03-08,673,NA,NA,NA
2020-03-09,1073,NA,NA,NA
2020-03-10,1695,NA,NA,NA
2020-03-11,2277,NA,NA,NA
2020-03-12,2277,NA,NA,NA
2020-03-13,5232,NA,NA,NA
2020-03-14,6391,NA,NA,NA
2020-03-15,7798,NA,NA,NA
2020-03-16,9942,NA,NA,NA
2020-03-17,11748,NA,NA,NA
2020-03-18,13910,NA,NA,NA
2020-03-19,17963,NA,NA,NA
2020-03-20,20410,NA,NA,NA
2020-03-21,25374,NA,NA,NA
2020-03-22,28768,NA,NA,NA
2020-03-23,35136,NA,NA,NA
2020-03-24,39885,NA,NA,NA
2020-03-25,49515,NA,NA,NA
2020-03-26,57786,NA,NA,NA
2020-03-27,65719,NA,NA,NA
2020-03-28,73235,NA,NA,NA
2020-03-29,80110,NA,NA,NA
2020-03-30,87956,NA,NA,NA
2020-03-31,95923,NA,NA,NA
2020-04-01,104118,NA,NA,NA
2020-04-02,112065,NA,NA,NA
2020-04-03,119199,NA,NA,NA
2020-04-04,126168,NA,NA,NA
2020-04-05,131646,NA,NA,NA
2020-04-06,136675,NA,NA,NA
2020-04-07,141942,NA,NA,NA
2020-04-08,148220,NA,NA,NA
2020-04-09,153222,NA,NA,NA
2020-04-10,158273,NA,NA,NA
2020-04-11,163027,NA,NA,NA
2020-04-12,166831,NA,NA,NA
2020-04-13,170099,NA,NA,NA
2020-04-14,172541,NA,NA,NA
2020-04-15,177644,NA,NA,NA
2020-04-16,184948,NA,NA,NA
2020-04-17,190839,NA,NA,NA
2020-04-18,191726,NA,NA,NA
2020-04-19,198674,NA,NA,NA
2020-04-20,200210,NA,NA,NA
